TransactionID,CustomerID,Product,Category,Price,Quantity,PaymentType,City,Country,TransactionDate,DiscountApplied,Rating,Browser,Device,SessionDuration,CouponCode,ReturnStatus,Warehouse,ShippingType,ReviewText
735,1288,Dress,Electronics,59580,2,UPI,Hyderabad,India,,Yes,2.9258962273160525,Chrome,Mobile,179,OFF20,,WH1,,Good
3568,1600,Headphones,,73051,3,UPI,Hyderabad,India,April 5 2023,N,2.3752022870710627,Safari,Tablet,383,,Returned,,Standard,Good
2647,1750,Laptop,Fashion,41671,1,Cash,,IND,,No,4.847436823818574,Safari,,257,YIrSES,Not Returned,WH2,Express,
3636,1744,Mobile,Fashion,77354,3,Cash,,IND,,No,1.3045748466354863,,Mobile,373,YIrSES,,,Standard,Bad
2323,1246,Dress,Accessories,13351,1,Cash,Delhi,IN,2023-01-01,,4.199372039926931,Edge,Mobile,298,OFF20,Not Returned,,,
2542,1306,Dress,Electronics,18122,3,Card,Hyderabad,India,02/03/2023,Y,4.80189504987594,Edge,Desktop,404,OFF20,Not Returned,WH3,,Bad
4791,1080,Dress,,50397,1,NetBanking,,,2023-01-01,N,4.007174366065654,Safari,,494,OFF20,,WH3,,Good
1634,1980,Headphones,,94710,1,NetBanking,Hyderabad,India,,No,3.2933200523762705,Safari,Desktop,349,OFF20,,WH1,Express,Good
1573,1057,Headphones,Accessories,92212,3,NetBanking,,India,April 5 2023,Y,2.7581519257939795,,Desktop,499,OFF20,Returned,WH2,Standard,Good
4215,1814,Dress,Accessories,64221,3,,Delhi,,April 5 2023,No,4.999242419025714,Edge,,99,,Returned,WH3,,Average
3130,1437,Laptop,Fashion,43766,3,,Delhi,India,02/03/2023,Y,3.2410118421072247,,Desktop,230,YIrSES,,WH3,Standard,Good
4210,1913,Laptop,Electronics,67793,2,,Chennai,India,April 5 2023,Yes,4.455871234513988,Safari,Mobile,76,SAVE10,,WH2,Express,Good
1202,1382,Dress,,74883,1,Card,Delhi,,,No,1.4042846168735834,Safari,Tablet,297,OFF20,Not Returned,WH1,Standard,Bad
2642,1911,Laptop,Electronics,73286,1,NetBanking,Hyderabad,IN,02/03/2023,N,4.8827937999217035,Chrome,Mobile,186,SAVE10,,WH2,,Good
1045,1681,Shoes,,78721,2,UPI,,,April 5 2023,Y,3.5201294640033525,Edge,Tablet,287,YIrSES,Not Returned,,Express,Average
4135,1872,Headphones,Fashion,94213,1,NetBanking,Hyderabad,IND,02/03/2023,Y,3.4446822067046106,Chrome,Tablet,196,YIrSES,Returned,,,Average
3856,1323,Mobile,Fashion,40526,4,NetBanking,Delhi,IN,,N,2.6013974588217152,Safari,Tablet,449,YIrSES,,WH3,,Average
1025,1975,Headphones,Accessories,86960,3,Card,Mumbai,IND,April 5 2023,No,1.547089717574937,Edge,,400,YIrSES,Returned,WH2,Express,
985,1505,Dress,Fashion,38359,1,UPI,,,April 5 2023,,2.216770515832263,,Tablet,268,SAVE10,Returned,WH1,Standard,Good
3343,1031,,,95612,2,NetBanking,Hyderabad,IND,April 5 2023,Y,2.034077176006158,Edge,Desktop,292,SAVE10,,WH2,,Good
3016,1265,,Electronics,19215,3,NetBanking,Mumbai,IN,2023-01-01,No,3.360738013799217,Edge,Mobile,271,,Returned,WH1,Standard,Bad
2475,1264,Laptop,Electronics,97420,4,Card,Hyderabad,,,Yes,3.8387942789187877,Safari,,167,OFF20,,,Express,Average
138,1401,Laptop,Fashion,66273,4,,Delhi,,April 5 2023,Yes,2.484956029325625,Chrome,Desktop,183,OFF20,Not Returned,WH2,Standard,Bad
4175,1497,Mobile,Electronics,76114,2,UPI,Hyderabad,,April 5 2023,,2.2540133091367105,Chrome,Mobile,180,YIrSES,Not Returned,WH2,Express,Average
685,1484,Shoes,Accessories,42467,2,UPI,Delhi,IN,2023-01-01,Yes,1.7763439867179538,,Tablet,93,,Returned,WH3,Express,Average
959,1358,,,25368,3,Cash,Hyderabad,IND,April 5 2023,,4.612389621195739,,Mobile,188,,Not Returned,WH3,Standard,Bad
2715,1285,Dress,Fashion,52603,2,UPI,Chennai,,,Yes,4.089099111220252,Chrome,Mobile,6,YIrSES,Not Returned,WH3,Express,
603,1745,Shoes,,6142,3,Cash,,IN,,Y,1.2938930264943895,Safari,Desktop,404,YIrSES,,WH1,Express,Bad
3685,1650,Shoes,Electronics,38037,3,,,IND,02/03/2023,,4.70940075390897,Safari,,171,SAVE10,Returned,WH2,Standard,Average
3609,1211,Laptop,Accessories,12017,4,UPI,,IN,2023-01-01,Yes,4.887797141684029,Edge,Desktop,174,YIrSES,,WH1,Standard,Average
2680,1023,Mobile,Accessories,84846,4,UPI,Delhi,,,Y,2.377230688581109,Safari,Tablet,201,SAVE10,,,,Bad
3967,1219,Mobile,Accessories,65093,4,,Mumbai,,April 5 2023,No,4.641695616927413,Edge,Mobile,114,,Not Returned,WH1,,Good
3492,1374,,,36296,4,UPI,Chennai,,02/03/2023,Yes,4.344116503532689,,Tablet,370,YIrSES,Returned,,Standard,Good
1501,1020,Mobile,Accessories,2354,2,,Hyderabad,,2023-01-01,No,3.5981482192979675,Edge,,55,OFF20,Not Returned,WH3,,Average
358,1629,Shoes,Accessories,30917,3,NetBanking,,,,,4.230589070811119,Safari,Mobile,319,OFF20,,WH3,,Bad
3376,1639,Dress,Fashion,2312,4,Card,,,2023-01-01,Y,3.1783741634958327,Chrome,Tablet,47,YIrSES,Returned,WH1,,Average
1618,1642,Mobile,,62085,3,Cash,Hyderabad,,2023-01-01,Y,1.8181494287638538,,Mobile,293,YIrSES,Returned,WH2,Express,Bad
323,1867,Dress,Fashion,84561,1,NetBanking,Chennai,IND,,Yes,3.516167718285211,Edge,Mobile,11,YIrSES,Returned,WH2,Express,Bad
3573,1919,Shoes,Fashion,22452,1,NetBanking,Chennai,IND,02/03/2023,N,4.107637164286671,Edge,,9,YIrSES,Returned,,Express,Bad
3253,1582,Mobile,,96556,2,Cash,Chennai,IND,2023-01-01,,4.572305852606651,Edge,,360,,Returned,WH3,,Average
370,1747,Headphones,Fashion,7909,4,Cash,Hyderabad,IND,02/03/2023,No,4.516436774079025,Safari,,258,,Not Returned,WH3,Express,Average
2465,1254,Laptop,,8222,1,,Delhi,IN,02/03/2023,Yes,3.3978888778752885,,,173,OFF20,,WH1,Standard,Average
1388,1621,Headphones,Electronics,11020,3,NetBanking,Mumbai,IN,April 5 2023,Y,2.404900943275653,,Desktop,265,YIrSES,Returned,,,Good
1844,1307,Mobile,Fashion,50681,4,Card,Hyderabad,India,April 5 2023,,1.0056214440435802,Safari,Tablet,293,,Returned,,Express,
33,1823,Shoes,Electronics,42289,3,NetBanking,Hyderabad,,2023-01-01,No,1.9157754041881447,Edge,Tablet,81,YIrSES,,,Standard,Bad
4014,1612,,Electronics,907,1,UPI,Hyderabad,,April 5 2023,Y,4.4902529174776635,,Mobile,392,OFF20,Not Returned,WH2,,Average
1619,1178,Mobile,Electronics,21694,1,UPI,Delhi,IND,02/03/2023,,4.390320592378605,,Desktop,376,SAVE10,Not Returned,WH2,Standard,Good
2325,1034,Headphones,Accessories,74680,3,,Chennai,IN,April 5 2023,Y,2.2956479292472802,Edge,Desktop,446,,Returned,WH2,Express,
2128,1955,Dress,Fashion,63698,2,NetBanking,Hyderabad,,April 5 2023,No,1.4810367971009968,Safari,Desktop,73,SAVE10,Not Returned,WH3,,
1292,1754,Shoes,Electronics,45690,4,Card,Chennai,,02/03/2023,Yes,3.059768480730502,Safari,Desktop,333,OFF20,,WH2,,Average
3662,1488,,Fashion,14833,1,,,IND,,,3.77914028646783,Safari,Desktop,295,,,,,Bad
1967,1166,,Electronics,36878,3,Card,Chennai,India,02/03/2023,Yes,4.691188006031859,Edge,Desktop,498,SAVE10,Returned,WH3,,
3387,1607,,,27254,3,UPI,,IN,April 5 2023,Y,3.7562463218126627,Safari,,99,OFF20,,WH2,Standard,
4437,1130,Headphones,,20245,4,Cash,Chennai,India,April 5 2023,,4.056243058426585,Edge,,326,SAVE10,Not Returned,WH1,Express,Bad
641,1038,,Accessories,76214,4,,Delhi,India,,Y,3.7467316446869754,Safari,,53,,Not Returned,WH3,Express,
1438,1592,Headphones,,85108,4,Card,Hyderabad,IND,April 5 2023,N,2.3876381701514786,Safari,Mobile,306,SAVE10,Returned,WH3,Standard,Good
3975,1074,Dress,Electronics,10139,3,NetBanking,,IN,02/03/2023,Yes,1.0121719090375567,,Desktop,162,SAVE10,,WH3,Express,
1907,1592,Headphones,Electronics,25829,3,UPI,Delhi,IN,02/03/2023,N,1.9013394467060345,Safari,Tablet,412,SAVE10,Returned,,Express,Average
625,1264,,Fashion,16581,4,Cash,Mumbai,,2023-01-01,Y,4.698690449448275,,Tablet,133,YIrSES,,,Express,
2460,1331,Shoes,Fashion,33294,3,,,IN,April 5 2023,No,4.232720732399233,Edge,Tablet,136,YIrSES,Not Returned,WH1,Standard,Bad
2639,1552,Laptop,,28382,4,,Mumbai,IND,,No,3.8643819835142716,Safari,Tablet,208,YIrSES,,WH1,Standard,Bad
1514,1684,Headphones,,70714,1,UPI,Hyderabad,IN,,,4.590884633786256,Safari,,432,,Returned,WH2,Express,Bad
3500,1751,Headphones,Electronics,80214,3,NetBanking,Mumbai,IN,,,3.64501838793127,Safari,Desktop,123,OFF20,Returned,WH2,Standard,Average
1802,1037,Shoes,,82646,4,,Mumbai,IN,2023-01-01,No,1.047134932299016,Edge,Mobile,140,YIrSES,Returned,WH2,,Average
3263,1710,Dress,,93868,4,Cash,Mumbai,India,2023-01-01,Y,3.9842194387887404,Edge,Desktop,287,YIrSES,Not Returned,,,Good
4295,1652,Dress,,43213,2,UPI,Hyderabad,IND,2023-01-01,N,4.313456896122078,Edge,Desktop,269,OFF20,Returned,WH2,,
1594,1081,,Accessories,23406,2,,Hyderabad,India,02/03/2023,Y,4.6517102796581185,Edge,Desktop,80,OFF20,,WH3,Express,Average
544,1398,Mobile,Electronics,16900,3,NetBanking,Chennai,India,02/03/2023,No,3.02044660953816,Chrome,Desktop,18,YIrSES,Not Returned,WH3,Standard,Bad
4515,1391,Mobile,Electronics,84129,3,UPI,Hyderabad,India,2023-01-01,Yes,3.996615660758715,Edge,Mobile,23,OFF20,Not Returned,WH1,Standard,Bad
